sheet_title,breakdown,scenario,series,unit,year,value
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2027,49.58
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2028,49.83
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2029,49.29
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2030,49.47
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2031,49.88
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2032,50.57
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2033,51.37
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2034,52.09
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2035,52.82
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2036,53.45
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2037,53.94
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2038,54.21
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2039,54.68
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2040,55.43
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2041,55.63
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2042,55.96
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2043,56.33
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2044,56.91
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2045,57.22
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2046,57.8
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2047,58.02
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2048,58.66
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2049,58.93
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Residential Sector,Net Annual Energy Demand (TWh),2050,59.42
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2027,52.13
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2028,52.73
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2029,53.48
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2030,54.82
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2031,55.7
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2032,56.0
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2033,56.13
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2034,55.98
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2035,58.28
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2036,61.04
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2037,63.4
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2038,66.13
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2039,66.99
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2040,68.25
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2041,69.23
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2042,70.11
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2043,70.54
